n_features,n_trees,min_samples_leaf,max_features,criterion,MAE,StdMAE,RMSE,StdRMSE,MaxE,StdMaxE,R2,StdR2,Time,StdTime
10,100,10,auto,mse,0.14012874200706,0.001263104123676,0.218601524329957,0.002014306407588,3.08945043371083,0.276909639568364,0.80406596653053,0.004659254645123,209.964200099309,2.32694268564418
15,50,10,0.1,mse,0.151604821961648,0.003418802090551,0.230015805076506,0.005995291790718,2.94709512856982,0.318483698557619,0.782952752412011,0.011903953227819,120.121112044652,2.00948759931033
15,50,10,0.25,mse,0.139208203731347,0.001287520687545,0.212189196757346,0.002634876512022,2.99933943323485,0.2351097344874,0.815430012463841,0.003607002937029,126.986237653097,1.61191762134041
15,50,10,0.5,mse,0.137179558351648,0.00093938615679,0.21081866890906,0.002082790637175,2.99372032382038,0.341220061164844,0.817762121061999,0.004791570443412,147.069011036555,1.62681092175703
15,50,10,0.75,mse,0.137117121856461,0.000807663016239,0.212016422406256,0.002948928141126,2.98274509581252,0.304853010523582,0.815711510650689,0.004140473041544,165.181216128667,2.73970402393935
15,50,10,auto,mse,0.13824578808462,0.000835074216074,0.215403816028724,0.001861067079246,3.04305403575638,0.31176835611404,0.809730591102062,0.003928550374914,183.596511093775,1.63469129596359
15,100,10,0.1,mse,0.150986905352109,0.002197543481984,0.228495993642799,0.004014784316004,3.05756646436808,0.278006487346472,0.78589506432902,0.007117795339561,122.575449721018,1.65943215195372
15,100,10,0.25,mse,0.139191545239008,0.001094782267835,0.212475980108369,0.002319441460938,3.00370888089499,0.226686392066223,0.814831337924087,0.004969028251168,143.367510604858,2.02369826110235
15,100,10,0.5,mse,0.136957588198915,0.001015942511029,0.211116943046592,0.002578255733865,2.99875187756301,0.284677767928026,0.817270837270817,0.00447500808394,180.203965346018,1.57805858275781
15,100,10,0.75,mse,0.136799343399969,0.000699298081916,0.211588748149851,0.00196211328406,3.0382913836839,0.28385645547484,0.816459881237941,0.002871428299373,217.430630461375,1.94059076736618
15,100,10,auto,mse,0.13798777520937,0.000770464664936,0.214860146762292,0.002566512222272,3.11023842517164,0.24807922943875,0.810723194306012,0.004468417727405,256.471996466319,3.36972128008121
